2026-05-14 23:58:39.582 INFO  [org.fly.cor.FlywayExecutor] (Quarkus Main Thread) Database: jdbc:postgresql://119.59.103.227:5432/appdb (PostgreSQL 16.13)
2026-05-14 23:58:39.586 INFO  [org.fly.cor.int.res.ResourceNameValidator] (Quarkus Main Thread) 1 SQL migrations were detected but not run because they did not follow the filename convention.
2026-05-14 23:58:39.587 INFO  [org.fly.cor.int.res.ResourceNameValidator] (Quarkus Main Thread) Set 'validateMigrationNaming' to true to fail fast and see a list of the invalid file names.
2026-05-14 23:58:39.884 INFO  [org.fly.cor.int.com.DbValidate] (Quarkus Main Thread) Successfully validated 8 migrations (execution time 00:00.103s)
2026-05-14 23:58:40.258 INFO  [org.fly.cor.int.com.DbMigrate] (Quarkus Main Thread) Current version of schema "public": 8
2026-05-14 23:58:40.280 INFO  [org.fly.cor.int.com.DbMigrate] (Quarkus Main Thread) Schema "public" is up to date. No migration necessary.
2026-05-14 23:58:41.212 INFO  [io.quarkus] (Quarkus Main Thread) react-quarkus-minio 1.0.0-SNAPSHOT on JVM (powered by Quarkus 3.35.2) started in 6.257s. Listening on: http://0.0.0.0:8080
2026-05-14 23:58:41.213 INFO  [io.quarkus] (Quarkus Main Thread) Profile dev activated. Live Coding activated.
2026-05-14 23:58:41.213 INFO  [io.quarkus] (Quarkus Main Thread) Installed features: [agroal, cdi, compose, flyway, hibernate-orm, hibernate-orm-panache, hibernate-validator, jdbc-postgresql, narayana-jta, rest, rest-client, rest-client-jackson, rest-jackson, security, smallrye-context-propagation, smallrye-health, smallrye-jwt, smallrye-openapi, swagger-ui, vertx]
2026-05-14 23:58:54.446 WARN  [io.sma.jwt.config] (vert.x-eventloop-thread-1) SRJWT03007: Public key is configured but either the secret key or key location are also configured and will be ignored
2026-05-14 23:58:54.466 INFO  [com.api.pub.ser.PublicSiteService] (executor-thread-1) Fetching full public site from DB, siteKey=panpan
2026-05-14 23:58:54.467 INFO  [com.api.pub.ser.PublicSiteService] (executor-thread-1) Fetching public site from DB, siteKey=panpan
2026-05-14 23:58:54.728 INFO  [com.api.pub.ser.PublicSiteService] (executor-thread-1) Fetching public hero from DB, siteKey=panpan
2026-05-14 23:58:54.768 INFO  [com.api.pub.ser.PublicSiteService] (executor-thread-1) Fetching public countdown from DB, siteKey=panpan
2026-05-14 23:58:54.781 INFO  [com.api.pub.ser.PublicSiteService] (executor-thread-1) Fetching public memories from DB, siteKey=panpan
2026-05-14 23:58:54.857 INFO  [com.api.pub.ser.PublicSiteService] (executor-thread-1) Fetching public gallery from DB, siteKey=panpan
2026-05-14 23:58:54.899 INFO  [com.api.pub.ser.PublicSiteService] (executor-thread-1) Fetching public love letter from DB, siteKey=panpan
